plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
HPB3289,NY,PAS,8559862900,6/8/17,01:19P,NO STANDING-DAY/TIME LIMITS,,115,60,0,0,175,0,110,Q,TRAFFIC,HEARING ADJOURNMENT,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVaekpOYW10M1RVRTlQUT09&locationName=_____________________)
HPB3289,NY,PAS,4679200558,2/17/20,09:41A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wOVVTWGROUkZVeFQwRTlQUT09&locationName=_____________________)
HPB3289,NY,PAS,1434254069,7/27/19,07:38A,NO PARKING-STREET CLEANING,,45,30,0,0,75,0,107,Q,DEPARTMENT OF SANITATION,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrNUVTVEZPUkVFeVQxRTlQUT09&locationName=_____________________)
HPB3289,NY,PAS,8737813420,5/1/19,05:41A,REG. STICKER-EXPIRED/MISSING,,65,0,0,65,0,0,110,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVrNTZaM2hOZWxGNVRVRTlQUT09&locationName=_____________________)
HPB3289,NY,PAS,8769563184,10/24/19,11:36A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1rOVVWVEpOZWtVMFRrRTlQUT09&locationName=_____________________)
HPB3289,NY,PAS,8782981450,1/21/20,12:01P,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMXFhelJOVkZFeFRVRTlQUT09&locationName=_____________________)
HPB3289,NY,PAS,8807908943,2/7/20,08:55A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwNTZhM2RQUkdzd1RYYzlQUT09&locationName=_____________________)
HPB3289,NY,PAS,8786212552,12/27/19,11:45A,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FNXFTWGhOYWxVeFRXYzlQUT09&locationName=_____________________)
HSB3997,NY,PAS,8563208858,10/10/17,11:09A,NO PARKING-STREET CLEANING,,45,0,0,45,0,0,104,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rMTZTWGRQUkdjeFQwRTlQUT09&locationName=_____________________)
51900MG,NY,COM,8485371124,8/7/17,08:08A,NO STANDING-DAY/TIME LIMITS,,115,0,0,23,92,0,14,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVUVE5OVkVWNVRrRTlQUT09&locationName=_____________________)
331375,IN,PAS,8485371021,8/5/17,10:14A,DOUBLE PARKING-MIDTOWN COMML,,115,0,0,0,115,0,18,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVUVE5OVkVGNVRWRTlQUT09&locationName=_____________________)
